Jugador_Jugadora,Categoria,Era,Mejor_Ranking_Individual,Ano_Mejor_Ranking_Ind,Mejor_Ranking_Dobles,Ano_Mejor_Ranking_Dob,Nivel_Alcanzado,Logros_Destacados
Marcelo Ríos,Masculino,Época Clásica,1,1998,141.0,1996.0,Elite Mundial (N°1 ATP),"Primer iberoamericano N°1 del mundo ATP, 5 títulos Masters 1000 y finalista de Grand Slam (Australian Open)."
Fernando González,Masculino,Generación Dorada,5,2007,25.0,2004.0,Elite Mundial (Top 5 ATP),"Triple medallista olímpico (Oro, Plata, Bronce), finalista de Grand Slam (Australian Open) y 11 títulos ATP."
Nicolás Massú,Masculino,Generación Dorada,9,2004,31.0,2005.0,Elite Mundial (Top 10 ATP),Doble campeón olímpico en Atenas 2004 (Singles y Dobles) y 6 títulos ATP.
Hans Gildemeister,Masculino,Época Clásica,12,1980,5.0,1987.0,Elite Mundial (Top 15 ATP Singles / Top 5 Dobles),"4 títulos ATP singles, 23 títulos en dobles y ex Top 5 del mundo en dobles."
Jaime Fillol,Masculino,Época Clásica,14,1974,23.0,1978.0,Elite Mundial (Top 15 ATP),"6 títulos ATP singles, 16 en dobles y referente de la primera final de Copa Davis en Chile (1976)."
Nicolás Jarry,Masculino,Era Contemporánea,16,2024,40.0,2018.0,Elite Mundial (Top 20 ATP),"3 títulos ATP 250, finalista del Masters 1000 de Roma (2024)."
Cristian Garin,Masculino,Era Contemporánea,17,2021,206.0,2021.0,Elite Mundial (Top 20 ATP),5 títulos ATP (incluye ATP 500 de Río) y cuartos de final en Wimbledon (2022).
Alejandro Tabilo,Masculino,Era Contemporánea,19,2024,173.0,2024.0,Elite Mundial (Top 20 ATP),"3 títulos ATP, semifinalista del Masters 1000 de Roma."
Silvana Urroz,Femenino,Histórico,117,1978,,,Circuito Profesional WTA,Máximo hito histórico individual del tenis femenino chileno en la era profesional.
Alexa Guarachi,Femenino,Especialista Dobles,247,2018,11.0,2021.0,Elite Mundial (Top 15 WTA Dobles),Finalista de Roland Garros en dobles (2020) y 5 títulos WTA.
Daniela Seguel,Femenino,Era Reciente,162,2018,110.0,2014.0,Circuito Profesional WTA / ITF,Cuartos de final en torneo WTA 250 (Bogotá) y múltiple campeona de torneos ITF.
Antonia Vergara,Femenino,Proyección,396,2025,,,Proyección / Circuito ITF World Tennis Tour,"Top 20 ranking Junior ITF, campeona de títulos W15 y N°1 de Chile."
Luis Ayala,Masculino,Pioneros / Época Clásica,5,1958,,,Elite Mundial (Top 5 Amateur/Pre-Open),"Doble finalista de Roland Garros (1958, 1960), campeón en dobles mixtos de Roland Garros (1956)."
Patricio Cornejo,Masculino,Época Clásica,65,1974,22.0,1977.0,Elite Mundial (Top 100 ATP / Top 25 Dobles),"Finalista de Roland Garros y US Open en dobles, pilar de la final de Copa Davis 1976."
Pedro Rebolledo,Masculino,Época Clásica,36,1982,162.0,1984.0,Elite Mundial (Top 50 ATP),"3 títulos ATP en singles (Viña del Mar, Bahía, Mar del Plata)."
Ricardo Acuña,Masculino,Época Clásica,47,1986,45.0,1985.0,Elite Mundial (Top 50 ATP),"Cuartos de final en Wimbledon (1985), 3 títulos de dobles ATP."
Patricio Rodríguez,Masculino,Pioneros / Época Clásica,120,1973,,,Circuito Profesional ATP / Entrenador Elite,2 títulos ATP en dobles; entrenador histórico de Nicolás Massú (2 oros olímpicos).
Gabriel Silberstein,Masculino,Transición Anos 90,131,1998,211.0,1997.0,Circuito ATP Challenger,"1 título Challenger en singles, pilar del equipo chileno de Copa Davis en los años 90."
Sergio Cortés,Masculino,Transición Anos 90,114,1993,218.0,1994.0,Circuito ATP Challenger,3 títulos Challenger ATP y finalista del ATP 250 de Bogotá (1993).
Paul Capdeville,Masculino,Post-Generacion Dorada,76,2009,147.0,2007.0,Elite Mundial (Top 100 ATP),"1 título ATP en dobles (Viña del Mar), 10 títulos Challenger singles y N°1 de Chile por varios años."
